last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Burnes, Corbin,669203,MIL,FC,Cutter,-1.2,-21,1815,55.4,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
Rodón, Carlos,607074,SF,FF,4-Seamer,-1.2,-22,1826,61.2,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
Gilbert, Logan,669302,SEA,FF,4-Seamer,-0.7,-12,1626,53.9,418,0.259,0.439,0.337,23.7,22.5,20.5,0.262,0.444,0.339,50.5
McKenzie, Triston,663474,CLE,FF,4-Seamer,-1.1,-17,1570,55.9,406,0.203,0.358,0.29,19.6,18.2,17.2,0.241,0.451,0.337,46.9
Cole, Gerrit,543037,NYY,FF,4-Seamer,-0.5,-8,1698,51.9,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
Valdez, Framber,664285,HOU,SIFT,Sinker,-0.3,-4,1478,49,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.439,0.358,47.1
Manaea, Sean,640455,SD,SIFT,Sinker,0.3,5,1511,60.9,391,0.239,0.427,0.324,23,22.8,20.6,0.239,0.416,0.321,44.7
Pivetta, Nick,601713,BOS,FF,4-Seamer,-0.6,-9,1572,51,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
Javier, Cristian,664299,HOU,FF,4-Seamer,-1.2,-18,1530,59.9,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
Strider, Spencer,675911,ATL,FF,4-Seamer,-1.3,-20,1525,67,357,0.201,0.295,0.262,27.7,33.6,24.4,0.207,0.336,0.281,41.8
Quantrill, Cal,615698,CLE,SIFT,Sinker,-0.2,-3,1319,45.2,356,0.292,0.426,0.345,13.5,12.6,12.7,0.275,0.433,0.342,34.1
Corbin, Patrick,571578,WSH,SIFT,Sinker,0.8,10,1140,43.5,356,0.31,0.475,0.383,11.7,15.2,16.3,0.316,0.545,0.398,50
Ryan, Joe,657746,MIN,FF,4-Seamer,-1.4,-21,1436,60.1,354,0.174,0.3,0.268,25.8,27.1,20.7,0.201,0.378,0.302,40.9
Cease, Dylan,656302,CWS,SL,Slider,-2.7,-36,1338,42.9,349,0.128,0.209,0.193,43.3,37.5,27.8,0.144,0.223,0.202,22
Urquidy, José,664353,HOU,FF,4-Seamer,-0.6,-8,1392,52.7,347,0.243,0.482,0.334,18.8,17,14.8,0.275,0.526,0.372,51.2
Gausman, Kevin,592332,TOR,FF,4-Seamer,-0.2,-2,1358,48.8,342,0.333,0.483,0.371,16.3,18.4,17.7,0.296,0.511,0.359,50.4
Singer, Brady,663903,KC,SIFT,Sinker,-0.3,-4,1278,53.8,330,0.255,0.387,0.318,13.9,20.9,22.1,0.244,0.391,0.309,39.7
Ray, Robbie,592662,SEA,FF,4-Seamer,-0.8,-9,1201,39.4,327,0.224,0.397,0.312,25.9,26.6,24.1,0.209,0.364,0.29,37
Urías, Julio,628711,LAD,FF,4-Seamer,-1.3,-17,1251,47.7,322,0.189,0.34,0.285,23.1,23,22.5,0.205,0.35,0.282,38.5
Giolito, Lucas,608337,CWS,FF,4-Seamer,0,0,1313,47.7,320,0.283,0.449,0.359,21.3,21.6,18.9,0.254,0.422,0.337,43.1
